Organisation,Postcode,Website,Facebook,Twitter
Berwick Community Trust,TD15 1JT,www.berwicktrust.org.uk/,@berwickcommunitytrust,@berwicktrust
Bethel Outreach,SW9 7SH,N/A,N/A,N/A
Bethel Trust Port Talbot,SA12 6LR,www.betheltrustpt.co.uk,N/A,N/A
Bethlehem House of Bread (Condorrat Parish Church),G67 4DZ,N/A,www.facebook.com/@Bethlehem-House-of-Bread-food-bank-100064423314107/,N/A
Bethlehem House of Bread (Cornerstone House Centre),G67 4EF,N/A,www.facebook.com/@Bethlehem-House-of-Bread-food-bank-100064423314107/,N/A
Bethnal Green Foodbank,E2 9LY,www.bowfoodbank.org,@BowFoodbank,@bethnalfoodbank
Better Together Community Support Group,ST4 5LU,www.bettertogethercommunitystoke.org,@betterstoke,@betterstoke
Bishop's Stortford Food Bank,CM23 3AZ,www.bishopsstortfordfoodbank.com,@bsfoodbank,N/A
Black Country Food Bank (Ablewell Advice),WS1 2EQ,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (All Saints),WS10 9LA,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Brickhouse Community Foodbank),B65 8HS,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Bridging the Gap),WV13 1RT,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Community Link),B64 5HA,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Darkhouse Foodbank),WV14 8XH,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Grace Church),DY5 4AJ,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Holy Cross Community Foodbank),B69 1LL,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Holy Trinity Church),B64 6JA,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Kingswinford Foodbank),DY6 9JG,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Lifecentral Food Bank),B63 3AJ,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Netherton Food Bank),DY2 9PN,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (New Testament Church of God),WV13 1PB,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Refresh),DY2 7AE,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Replenish),DY8 1PQ,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (South Street Foodbank),DY5 2RR,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Springs),DY3 1YB,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Take a Break),DY3 2AU,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Fountain of Life),B69 3AG,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Giving Hands Charity),DY5 1RE,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Lamp Foodbank),WS8 7JW,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Rock),WS1 1TE,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Thomas Project),WS9 8HB,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (The Well),DY4 8QJ,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Black Country Food Bank (Woodside Community Foodbank),DY2 0TH,www.blackcountryfoodbank.org.uk/,@blackcountryfoodbank,@bcfoodbank
Blackpool Food Bank,FY4 5QP,www.blackpoolfoodbank.co.uk,@blackpoolfoodbank,N/A
BLT Food Hub,CF38 2DA,N/A,www.facebook.com/people/BLT-Food-Hub/100088473267540/,N/A
Blue Door Foodbank,PH3 1DF,www.bluedoorfoodbank.org/,@bluedoorfoodbank,N/A
Bo'ness Storehouse Foodbank,EH51 9UD,N/A,@StorehouseBoness,N/A
Boldon Community Association,NE35 9DS,www.boldonca.co.uk,@BoldonCommunityCentre,N/A
Booth Centre,M3 1FU,www.boothcentre.org.uk/,@boothcentre,@BoothCentre
Bounds Green Food Bank,N22 8HE,N/A,@BoundsGreenFoodBank,@BoundsGFoodBank
Bow Foodbank,E3 3BT,www.bowfoodbank.org/,@BowFoodbank,@bowfoodbank
Brackley Food Bank,NN13 7EU,www.brackleyfoodbank.org,www.facebook.com/groups/1034566423758478/,N/A
Braes Storehouse Food Bank,FK2 0YN,www.braesstorehouse.org.uk,@Braes-Storehouse-Food-Bank,N/A
Brandlesholme,BL8 1HS,www.brandlesholme.com,@brandlesholmecc,@BrandlesholmeCC
Breadline Project,OX16 0RL,www.breadlineproject.org/,@breadlineproject,N/A
Bridge Church Food Bank,DN22 6AA,https://bridgechurchretford.com/,N/A,N/A
Bridgnorth Food Bank,WV16 4AB,www.bridgnorthfoodbank.co.uk,@BridgnorthFoodBank,@BNFoodBank
Broke Not Broken,KY13 8AY,www.brokenotbroken.org/,@BrokeNot,@broke_not
Bromyard Food Bank & Money Advice Centre,HR7 4EB,www.bromyardfoodbank.co.uk,@BromyardFoodBank,N/A
Brotherhood of the Cross & Star,SE1 6RT,www.bcs.uk-online.org,N/A,N/A
Broxtowe Community Projects,NG9 4AE,N/A,@BroxtoweCommunityProjects,N/A
Burton HOPE,DE14 1HA,www.burtonhope.co.uk,@BurtonHOPE,N/A
Bury Fellowship,BL9 0HE,N/A,N/A,N/A
Bute Oasis Food Bank,PA20 9DG,N/A,N/A,N/A
"Cae Rowland Pantry, aPproject of Cae Rowland Community Partnership Partnership",SA5 8NY,N/A,N/A,N/A
Caistor Food Bank,LN7 6UF,www.caistorfoodbank.org,@caistorfoodbank,@caistorfoodbank
Calvary Mansfield - Gap Cafe,NG18 3FS,N/A,N/A,N/A
Camden Mobile Food Bank,NW1 1DF,www.urbancommunityprojects.org.uk/camden-mobile-food-bank,N/A,@Camdenmfb
Camelford and Neighbours Community Larder,PL32 9PB,www.theoldbankcamelford.org.uk/,www.facebook.com/groups/241380803143024/?ref=share,N/A
Canaan Trust,NG10 1GR,www.canaan-trust.co.uk/,N/A,@Canaan_Trust
Canada Estate Tenants and Residents Association,SE16 7BA,N/A,N/A,N/A
Canterbury Food bank,CT5 3PS,N/A,N/A,N/A
Cardiff and Vale College,CF10 5FE,www.cavc.ac.uk,N/A,N/A
Caring for Kendray,S70 3RH,N/A,@caringforkendray,N/A
Caring Hands,WR11 4RE,www.chands.org.uk,N/A,@chandsevesham
Caring Hands,WR11 4AD,www.chands.org.uk,N/A,@chandsevesham
Caritas Foodbank Bury,M26 3WD,N/A,N/A,N/A
Caritas Portsmouth,PO1 3QA,www.caritasportsmouth.org.uk,N/A,N/A
Caritas Portsmouth,SO17 3SB,www.caritasportsmouth.org.uk,N/A,N/A
Caritas Portsmouth,PO9 1LP,www.caritasportsmouth.org.uk,N/A,N/A
Caritas Portsmouth,SO17 3SB,www.caritasportsmouth.org.uk,N/A,N/A
Caritas Portsmouth,PO9 1LP,www.caritasportsmouth.org.uk,N/A,N/A
Caritas Portsmouth,PO1 3QA,www.caritasportsmouth.org.uk,N/A,N/A
Carlisle Food Bank,CA3 8QT,www.carlislefoodbank.org.uk/,N/A,@CarlisleFbank
Carpenters Cafe,E15 2JL,www.carpenterscafe.co.uk,N/A,N/A
Castle Douglas Development Forum,DG7 1DB,www.castledouglas.info,N/A,N/A
CATCH Cwmtawe Action to Combat Hardship,SA9 2JA,www.catch-online.org.uk,N/A,N/A
"Cathedral Food Bank, Bangor",LL57 1RL,www.bangorfoodbank.org,@bangorfoodbank,N/A
Central & West inegration Network (Glasgow),G3 6RE,www.cwin.org.uk,@CWINGlasgowScotland,@IntegWest
Centre of Help and Hope,NW10 2JD,www.centreofhelpandhope.com,N/A,N/A
Cetma,SA17 4TA,www.cetma.org.uk,@PBPfoodbank,N/A
CFYDC (CHANCE) t/a Chapeltown Youth Development Centre,LS7 2HJ,www.cfydc.org.uk/,@ChapeltownYouthDC,@CFYDC_
CGCC Food Bank,WF4 3FX,N/A,@cgccfoodbank,N/A
Chard Lord's larder,TA20 1QA,www.lordslarder.chardct.org.uk,N/A,N/A
Christ Apostle Church House of Refuge,RM7 8NT,N/A,www.facebook.com/people/CAC-House-of-Refuge/100064836878782/,N/A
Christ Apostolic Church Mount of Rehoboth,WV13 1QU,www.cacmor.org.uk,@cacmortv,N/A
CHURCHES FOODBANK - Forest Gate,E7 8AA,N/A,@stmarysalbrighton,N/A
Churches Together in the Strettons,SY6 6DQ,N/A,N/A,@ChurchStretton1
CICC FOOD BANK,HA9 0JD,N/A,N/A,N/A
Cleckheaton Foodbank,BD19 5AR,www.cleckheatonfoodbank.weebly.com/,@cleckheatonfoodbank,@cleckhnfoodbank
Cleobury Mortimer Food Bank,DY14 8BX,www.cleobury.org.uk/blog/?page_id=2730,@Cleobury-Food-Bank,N/A
Clydesdale Food Bank,ML8 4BA,http://clydesdalefoodbank.org.uk/,@clydesdalefoodbank,N/A
Coatbridge community foodbank,ML5 3SP,www.coatbridgefoodbank.com/,@Coatb,N/A
Colne Valley Help,HD7 5AB,www.colnevalleyhelp.org.uk,@colnevalleyhelp,N/A
Colne Valley Help,HD3 4SS,www.colnevalleyhelp.org.uk,@colnevalleyhelp,N/A
Colne Valley Help,HD4 5UX,www.colnevalleyhelp.org.uk,@colnevalleyhelp,N/A
Come out of Hiding The Lighthouse Network,SE13 7FT,www.cooh.co.uk,@comeoutofhiding2015,@comeoutofhiding
Comfort Memorial Foodbank For All (CMfFA),MK9 2AH,www.cmffa.org.uk,@ComfortMemorial,@CMFFA_Foodbank
Community Essentials,B92 7HS,www.community-essentials.org.uk,@CommunityEssentials,N/A
Community Food Bank Skye & Lochalsh,IV51 9EH,www.skyefoodbank.co.uk,@SkyeFoodBank,N/A
Community Food Bank Skye & Lochalsh,IV49 9AE,www.skyefoodbank.co.uk,@SkyeFoodBank,N/A
Community of Helping Hands,G32 0TG,N/A,@communityofhelpinghands,@Communityofhel2
Copef Training Skills / African Emergency Food Bank,SW9 8TX,www.copeftrainingskills.co.uk/,@AfricanFoodBank,N/A
Cornelly Development Trust,CF33 4LN,www.caddt.org,@CornellyDT,@CAD_Dev_Trust
Cornerstone Day Centre - Caritas Diocese of Salford,M15 6JS,N/A,N/A,@CdsCornerstone
"Courtyard Cafe, Harehills Lane Baptist Church",LS8 4HE,www.hlbc.org.uk,N/A,N/A
Craft In Mind C.I.C,WA1 2QQ,N/A,N/A,@craftinmind
Craven Vale Food Bank,BN2 0FH,www.cravenvale.org.uk/,N/A,N/A
Crawley Open House,RH10 1TN,www.crawleyopenhouse.co.uk,@CrawleyOpenHouse,@CrawleyOpenHse
Crescent Food Bank,BL1 3QH,www.crescentfoodbank.org.uk,@crescentfbuk,@crescentfbuk
Croftfoot Parish Church (The Pantry),G44 5NS,N/A,N/A,N/A
Crookston Community Group,G53 5AS,www.myccg.co.uk,@CrookstonCommunityGroup,@CCG_Comunity
Croydon Refugee Day Centre,CR0 2JH,www.croydonrefugeedaycentre.co.uk,N/A,N/A
Cultenhove Opportunities,FK7 9DU,N/A,@CultenhoveOpportunities,N/A
Cymer Afan Community Library,SA13 3HR,N/A,@CymerAfanHelp,N/A
Dads House,W8 5EP,www.dadshouse.org.uk,@dadshouseuk,@dadshouseuk
Daily Bread Pop up Cafe,CM13 1JS,www.huttonparish.com,@huttonparish,N/A
Darkwood Crew - Helping Ferguslie Flourish,PA3 1NT,www.darkwoodcrew.co.uk,@DarkwoodCrew,@CrewDarkwood
Dartmoor Community Kitchen Food Bank,TQ13 9BP,www.communitykitchenhub.org.uk/,N/A,N/A
Daventry Food Bank (Vineyard Community Church),NN11 4JP,www.daventryfoodbank.org.uk,@FoodBankDaventry,N/A
Dawley Food Bank,TF4 2EX,dcctelford.wordpress.com/,www.facebook.com/people/Dawley-Christian-Centre-High-Street-Dawley/100064580534082/,N/A
Daylight Centre Fellowship- Wellingborough & District Foodbank,NN8 4HP,www.daylightcf.org,@daylightcentre,@daylightcentre
Depaul UK - Middlesborough,TS1 5AU,www.depaulcharity.org.uk,@depauluk,@DepaulUK
Derbyshire Community Hub,S43 3BL,N/A,Derbyshire Community Hub,N/A
Diamond Hampers (The Attic),PE29 3PN,www.diamondhampers.org,@DiamondHampersUK,N/A
Diamond Hampers (The Pantry),PE29 3LE,www.diamondhampers.org,@DiamondHampersUK,N/A
Divine Rescue Charity,WC1B 3PP,www.barnabascommunityprojects.org,@barnabascommunityprojects,@BCPCommunity
DN7 Community Foodbank,DN7 4HT,N/A,@DN7FoodBank,N/A
Dornoch Firth Group,IV25 3LA,www.dornochfirthgroup.com,N/A,N/A
Dunbar FoodShare (Formelly Dunbar Basics Bank),EH42 1EH,www.dunbarfoodshare.org,@dunbarfoodbank,N/A
Duns Food Bank,TD11 3DD,www.berwickshirehelp.org.uk/duns-food-bank/,@dunsfoodbank,N/A
Earlsfield Food Bank,SW18 4QG,www.earlsfieldfoodbank.org.uk,@earlsfieldfoodbank2020,N/A
East Berwickshire FoodBank,TD14 5LD,N/A,@EyemouthFoodBank,N/A
East Bridgwater Local Pantry,TA6 4QZ,N/A,www.facebook.com/groups/796896304333980/?mibextid=HsNCOg,N/A
East Neuk Foodbank,KY10 3HF,N/A,@eastneukfoodbank,N/A
Eat or Heat,E17 4QU,www.eatorheat.org,N/A,@EatOrHeat
Eat or Heat,E4 8LT,www.eatorheat.org,N/A,@EatOrHeat
Eats Rosyth,KY11 2RD,www.eatsrosyth.org.uk,,@eatsrosyth
EBI Unites,PA8 6HA,www.ebi.scot,@UnitingEBI,@EbiUnites
EBI Unites,PA4 9LU,www.ebi.scot,@UnitingEBI,@EbiUnites
Edible Links,CV9 2QX,N/A,@Ediblelinks17,@EdibleLinks
Edinburgh City Mission - Bruntsfield Foodbank+,EH10 4JU,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Granton Foodbank+,EH5 2NW,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Leith Foodbank+,EH6 5JX,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Moredun Foodbank+,EH17 7NX,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Newington Foodbank+,EH8 9NZ,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Prestopans Foodbank+,EH32 9NT,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edinburgh City Mission - Wilson Foodbank+,EH7 6RY,www.edinburghcitymission.org.uk,N/A,@EdCiMi
Edlington Community Organisation,DN12 1AB,www.edlingtoncommunityorganisation.wordpress.com,N/A,@EdlingtonECO
Eggcup,LA1 1NZ,www.eggcup.org,N/A,N/A
EK Community Food Bank,G74 2AU,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
EK Community Food Bank,G75 8TT,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
EK Community Food Bank,G74 4HG,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
EK Community Food Bank,G75 8EY,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
EK Community Food Bank,G74 3LW,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
EK Community Food Bank,G75 0EA,www.calderwoodbaptist.co.uk/FoodBank,@FoodBankEK,N/A
Elland and District Foodbank,HX5 0EX,N/A,www.facebook.com/groups/ellandfoodbank/?mibextid=HsNCOg,N/A
Eltham & Mottingham Community Foodbank,SE9 4TA,www.se9foodbank.org,N/A,N/A
Eltham & Mottingham Community Foodbank,SE9 5DN,www.se9foodbank.org,N/A,N/A
EMS Ltd,HU9 3QB,www.emsyorkshire.co.uk,N/A,N/A
EMS Ltd (Hessle Road Network),HU3 3LA,www.emsyorkshire.co.uk,N/A,N/A
EMS Ltd (Lonsdale Centre),HU3 6PA,www.emsyorkshire.co.uk,N/A,N/A
EMS Ltd (Springhead Golf Club),HU5 5JE,www.emsyorkshire.co.uk,N/A,N/A
EMS Ltd (St Hilda's Church),HU9 4JY,www.emsyorkshire.co.uk,N/A,N/A
EMS Ltd (The Mitchell Centre),HU2 0BQ,www.emsyorkshire.co.uk,N/A,N/A
Encompass,NN10 9YU,www.encompasscharity.org.uk,@Rushdenfoodbnk,N/A
Encompass,NN9 6HS,www.encompasscharity.org.uk,@Rushdenfoodbnk,N/A
Encompass,NN14 4FE,www.encompasscharity.org.uk,@Rushdenfoodbnk,N/A
Eudaimonia/ Super Kitch,DN21 1SN,www.eudaimonia-hmk.com,@eudaimoniacio,@Eudaimoniahmk
Eyres Monsell Club for Young People,LE2 9AQ,www.eyresmonsellcyp.co.uk,@EyresMonsellcyp,@EMCYP_
Fair Frome,BA11 1EB,www.fairfrome.org,N/A,@FairFrome
Fairfield Community Sports Hub SCIO,DD4 0JX,N/A,N/A,N/A
Faithworks Wessex (Blandford Food Bank),DT11 7DQ,www.faithworkswessex.org.uk,@faithworkswessex,N/A
Faithworks Wessex (Christchurch Food Bank),BH23 1EH,www.faithworkswessex.org.uk,@faithworkswessex,N/A
Faithworks Wessex (Poole Food Bank),BH15 1JP,www.faithworkswessex.org.uk,@faithworkswessex,N/A
Faithworks Wessex (Wimborne Food Bank),BH21 2AP,www.faithworkswessex.org.uk,@faithworkswessex,N/A
Families 1st 4 Additional Needs,NE13 7GB,N/A,N/A,@1st4families
Feed A Child Torbay,TQ2 8GR,www.feedachildtorbay.org.uk,N/A,N/A
Feltham Food Bank,TW14 0AX,www.felthamfoodbank.org,@FelthamFoodBank,N/A
Ferndown Community Support CIC,BH22 9JP,www.fendowncommunitysupport.org.uk,N/A,N/A
Fife Today's Community Church,KY2 5DG,The-hope-campus.ueniweb.com,N/A,N/A
Finchley Foodbank,N2 8HG,www.finchleyfoodbank.org.uk,@finchleyfoodbank,N/A
Firth Park Cultural Centre,S5 6HB,N/A,N/A,N/A
Food Aid - Blidworth,NG21 0PX,www.sfcc.org.uk/foodaid-blidworth,N/A,N/A
"Food Bank of the Sacred Heart Church, Eden Grove, Holloway",N7 8EN,N/A,N/A,N/A
Food Centre - Kings Community Church,SO30 4BZ,N/A,N/A,N/A
Food Facts Friends Foodbank,EH26 8AB,www.foodfactsfriends.org.uk,www.facebook.com/pages/category/Community/Food-facts-friends-community-hub-1552344625096420/,N/A
Food for Thought,G81 3LD,N/A,@foodforthoughtdumbarton,N/A
Food for Thought,G82 1LJ,N/A,@foodforthoughtdumbarton,N/A
Food for Thought,G81 2HX,N/A,@foodforthoughtdumbarton,N/A
Food for Thought,G83 0PG,N/A,@foodforthoughtdumbarton,N/A
Food for Thought Lancaster,LA1 2AP,N/A,www.facebook.com/groups/1007225669802269,N/A
Food For Your Future Community Pantry,KY11 4UG,N/A,@foodforyourfuture,N/A
Food in Community,TQ9 7UU,www.foodincommunity.org,@FoodinCommunityCIC,@Foodincommun
"Food Kitchen, St David Lewis and St Francis Xavier Church Hall",NP15 1RZ,N/A,@CatholicUsk,N/A
Food4All,E7 9LW,www.food4alluk.org/,@food4allel,N/A
Food4U,B73 6AA,N/A,N/A,N/A
Foodbank at St Matthew's,RH1 1DL,N/A,N/A,N/A
Foodbank PLUS (Barnabas Community Projects),SY3 7DN,www.urbancommunityprojects.org.uk/camden-mobile-food-bank,@Camdenmfb,@Camdenmfb
Foodbank4Whitby,YO21 3AJ,www.foodbank4whitby.org.uk/,@foodbankwhitby,N/A
FoodShare,SL6 1LL,www.foodshare.charity,N/A,@FoodbankBerks
Foothold Cymru,SA14 9RA,www.footholdcymru.org.uk,@FootholdCymru,@footholdcymru
Frank Moran Centre (Milton Keynes Food Bank),MK3 6PA,mkfoodbank.org.uk/,@MKFoodBank,N/A
Freedom Community Project,S44 6LY,N/A,N/A,N/A
Fresh,SK3 8LX,N/A,N/A,N/A
Fresh,SK3 0RJ,N/A,N/A,N/A
Fresh,SK3 8QJ,N/A,N/A,N/A
Fresh,SK3 8LQ,N/A,N/A,N/A
Fresh,SK8 2JF,N/A,N/A,N/A
Fresh,SK5 8HH,N/A,N/A,N/A
Friends of Eastwoods Park,NE42 5DT,N/A,@MinersLampCafe,N/A
Friends of Isaacs Food Bank,B98 7RP,www.teamisaac.co.uk,@FriendsofIsaacsFoodBank,N/A
Friends of Isaacs Food Bank,B97 6HX,www.teamisaac.co.uk,@FriendsofIsaacsFoodBank,N/A
Friends of meadowside cic,WA2 8AP,www.friendsofmeadowside.org/,N/A,N/A
Friends of meadowside cic,WA2 9EP,www.friendsofmeadowside.org/,N/A,N/A
Friends of the Homeless (Fareham Basics Bank),PO16 7XU,www.friendsofmeadowside.org/,@FarehamandGosportBasicsBank,N/A
Friends of the Homeless (Gosport Basics Bank),PO12 1FQ,www.friendsofmeadowside.org/,@FarehamandGosportBasicsBank,N/A
Fusion Housing,WF12 8DJ,www.fusionhousing.org.uk,N/A,@FusionHousing1
Galashiels and District Foodbank,TD1 3HS,Galashielsfoodbank.co.uk,N/A,N/A
Gillingham Street Angels,ME7 1LG,www.thestreet-angels.org,N/A,@thestreetangel2
Glasgow Vineyard,G11 6PW,www.glasgowvineyard.org,N/A,@GlasgowVineyard
Glastonbury & Street Bridging the Gap Foodbank,BA6 8BS,www.together.ourchurchweb.org.uk/glastonbury/churches/foodbank/,www.facebook.com/Glastonbury-Bridging-the-Gap-the-Foodbank-for-Glastonbury-Street-103079174382642/,N/A
Globe Community & Fitness Activities Centre,M16 7QB,www.globecentre.org.uk,N/A,@GlobeManchester
Glossopdale Foodbank,SK13 0LU,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Glossopdale Foodbank,SK13 8HZ,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Glossopdale Foodbank,SK13 2DW,www.glossopdalefoodbank.org.uk,@glossopdalefoodbank,N/A
Goldhill Play Association Limited,LE2 6TL,www.goldhilladventureplayground.org,@goldhillplay,@goldhillplay
Govan Community Project,G51 3UU,www.govancommunityproject.org.uk,@govancommunityproject,@GovanCP
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
Grace Church Family,AB31 5ZU,www.gracechurchfamily.com,@gracechurchfamily,N/A
